Marchwiel,7910,171.213755,-44.37495
Upper Vogeltown,4310,174.082888,-39.088113
Ormiston,2023,174.901919,-36.983765
Sunset North,632,174.738067,-36.747671
Pyes Pa,3112,176.125018,-37.739941
Saint Kilda,9013,170.514627,-45.899044
Pakuranga Heights,2010,174.886441,-36.917063
Forrest Hill,620,174.746234,-36.775646
Barrington,8024,172.619146,-43.559015
Parkvale,3112,176.141895,-37.724381
Golflands,2013,174.917522,-36.917818
Northwood,8051,172.617568,-43.460177
Snells Beach,920,174.730275,-36.425426
Mayfair,4122,176.859554,-39.636913
Tikipunga,112,174.319997,-35.680004
Paremoremo,632,174.686816,-36.724825
Burwood,8083,172.695669,-43.497822
Melville,3206,175.281849,-37.810291
Pukehangi,3015,176.203706,-38.136844
Waimauku,812,174.489223,-36.772287
Amberley,7410,172.753862,-43.163269
Lower Hutt Central,5010,174.917835,-41.206042
Helensville,800,174.456707,-36.678597
Burnside,8053,172.572067,-43.50196
Merrilands,4312,174.099155,-39.063159
Mangere Bridge,2022,174.767432,-36.945793
Broomfield,8042,172.531112,-43.523944
Huntington Park,2013,174.904155,-36.9289
Manukau,2104,174.878626,-36.991536
West Harbour,618,174.633393,-36.82193
Paekakariki,5034,174.947576,-40.991278
Chartwell,3210,175.275819,-37.757402
Ruatoria,4032,178.317068,-37.894733
St Marys Bay,1011,174.744189,-36.841324
Balaclava,9011,170.472029,-45.890799
Mount Grand,9011,170.457516,-45.886493
Bluff Hill,4110,176.906654,-39.483972
Te Kauwhata,3710,175.147376,-37.403335
Rotorua,3010,176.249328,-38.139853
Taneatua,3123,177.007052,-38.063281
Fairy Springs,3015,176.224465,-38.110359
Waikanae,5036,175.078792,-40.866312
Kingston,6021,174.760613,-41.323066
West Brook,3015,176.221397,-38.15195
Flaxmere,4120,176.782184,-39.621441
Ngatea,3503,175.492899,-37.273498
Hei Hei,8042,172.518802,-43.537417
Ellerslie,1051,174.814215,-36.896424
Hornby,8042,172.52964,-43.54889
Putiki,4500,175.051712,-39.947578
Maungatapu,3112,176.175224,-37.718593
Hornby South,8042,172.519198,-43.558602
Goodwood Heights,2105,174.895304,-36.990734
Glenleith,9010,170.494618,-45.838487
Point England,1072,174.863317,-36.884831
East Gore,9710,168.954802,-46.092808
Te Anau,9600,167.728565,-45.413708
Deanwell,3206,175.278597,-37.819459
Stirling,9231,169.786267,-46.258584
Addington,8011,172.608862,-43.537685
Rapahoe,7803,171.246049,-42.375509
Dunedin South,9012,170.503471,-45.892083
Musselburgh,9013,170.503471,-45.892083
